night_market_id,city,night_market,longitude,latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,status
248,嘉義縣,布袋夜市,120.3190743,23.2057197,,,,,,,1700–0000,
249,嘉義縣,過溝夜市,132.806823,33.844945,,,,,,1500–2200,,
250,嘉義縣,東石夜市,119.1855042,36.6974143,,,,,1700–2300,,,
251,嘉義縣,蒜頭夜市,,,,1700–2230,,,,,,
252,嘉義縣,義竹夜市,120.5065085,23.5239997,,1700–2230,,,,,,
253,嘉義縣,鹿草夜市,,,,,1700–2230,,,,,
254,嘉義縣,朴子夜市,120.2467932,23.4407822,,,,,,1700–2300,,
255,嘉義縣,七主宮夜市,,,,1700–0000,,1700–0000,,,,
256,嘉義縣,後潭夜市,,,,,,,1730–2200,,,
257,嘉義縣,新埤夜市,,,,,1630–2030,,,,,
258,嘉義縣,麻魚寮夜市,,,,,,1700–2200,,1700–2200,1700–2200,
259,嘉義縣,水牛厝夜市,,,,,,,1700–2200,,,
260,嘉義縣,新港夜市,115.7252561,28.6350508,,,,1730–2300,,,,
261,嘉義縣,民雄夜市,,,,,,1730–2330,,,,
262,嘉義縣,頭橋夜市,120.4925538,23.5161994,,1700–2200,,,,,,
263,嘉義縣,溪口夜市,140.3134515,35.7778443,,,,1700–2300,,,,
264,嘉義縣,大林夜市,120.4619068,23.6050954,1700–2200,,,,,,,
265,嘉義縣,大埔美夜市,,,,,,1700–2300,,,,
266,嘉義縣,竹崎夜市,133.258919,35.4742423,,,1700–2200,,,1700–2200,,
267,嘉義縣,梅山夜市,127.745144,26.2737409,,,,,,,1700–2230,
268,嘉義縣,水上夜市,120.4023258,23.42753694,,,,,,,1800–2230,
269,嘉義縣,中庄夜市,136.7324427,35.4155234,,,,,,1700–2230,,
270,嘉義縣,汴頭夜市,135.7621658,34.795375,1700–2230,,,,,,,
271,嘉義縣,同仁夜市,136.37427,36.251448,,,,,,1700–2230,,
272,嘉義縣,番路夜市,119.2183496,36.6966288,,,,,1700–2230,,,
273,嘉義縣,大布袋夜市,,,,,,,,,1700–0000,
274,臺南市,花園夜市,120.1998138,23.0104631,,,,1700–0000,1700–0000,1700–0000,1700–0000,
275,臺南市,大東夜市,120.2192399,22.98261109,1800–0100,1800–0100,,,1800–0100,,,
276,臺南市,武聖夜市,120.1909754,23.0045184,,,1700–0000,,1700–0000,1700–0000,,
277,臺南市,小北觀光夜市,120.2060684,23.008205,1400–0000,1400–0000,1400–0000,1400–0000,1400–0000,1400–0000,1400–0000,
278,臺南市,小北成功夜市,120.2082196,23.0113995,,1700–0000,,,1700–0000,,,
279,臺南市,仁和夜市,135.7344006,35.0239427,。,,,,,,,
280,臺南市,灣裡夜市,120.2835895,23.1009927,,,1730–0000,,,1730–0000,,
281,臺南市,新永華夜市,120.1741356,22.98920011,,,,1800–0000,,,1800–0000,
282,臺南市,十二佃夜市,,,1700–2230,,,,,,,
283,臺南市,本淵寮夜市,139.9601125,35.8471947,,,,,1700–2300,,,
284,臺南市,中州寮夜市,,,,1700–2300,,,,1700–2300,,
285,臺南市,土城聖母廟夜市,135.7641954,35.0155134,,,,1730–0000,,1730–0000,,
286,臺南市,國宅夜市,135.7619737,35.0003076,,,,,,,1700–2230,
287,臺南市,樺谷夜市,120.1940025,23.02656857,,,,,,,1700–2300,
288,臺南市,新同安夜市,120.1741356,22.98920011,,1700–2330,,,1700–2330,,,
289,臺南市,永大夜市,120.2629789,23.01896761,1700–0000,,,1700–0000,,1700–0000,1700–0000,
290,臺南市,南工小夜市,120.2343686,23.0144529,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,
291,臺南市,鹽行夜市,120.2357061,23.04227204,1700–0000,,,,,,,
292,臺南市,中興里夜市,120.3195524,23.3042355,1700–2300,,,,,,,
293,臺南市,復華夜市,120.2455687,23.0094007,,,,,1730–0000,,,
294,臺南市,聖龍夜市,120.2536229,22.9793385,,,1700–2130,,,,,
295,臺南市,大灣夜市,120.2629789,23.01896761,,,,,,,1700–2300,
296,臺南市,鍾厝夜市,120.2399052,23.1488318,,1700–2300,,,,,,
297,臺南市,德南夜市,120.3195524,23.3042355,,,1600–2200,,,1600–2200,,
298,臺南市,太子廟夜市,135.6391016,34.5178485,,,,,1700–2200,,,
299,臺南市,大潭夜市,120.2629789,23.01896761,,1700–2230,,,,,,
300,臺南市,鍾厝夜市,120.2399052,23.1488318,,1700–2300,,,,,,
301,臺南市,德南夜市,120.3195524,23.3042355,,,1600–2200,,,1600–2200,,
302,臺南市,太子廟夜市,135.6391016,34.5178485,,,,,1700–2200,,,
303,臺南市,歸仁星期三夜市,,,,,1700–2200,,,,,
304,臺南市,歸仁星期四夜市,,,,,,1800–2100,,,,
305,臺南市,關廟夜市,135.7641954,35.0155134,1600–2230,,,,1600–2230,,,
306,臺南市,新市夜市,120.1741356,22.98920011,,,,,,,1700–2330,
307,臺南市,善化夜市,120.2978819,23.12790326,,1730–2300,,,1730–2300,,1730–2300,
308,臺南市,新化夜市,120.1741356,22.98920011,,1700–2300,,,,,,
309,臺南市,民生夜市,120.2784622,23.0854766,,,,1700–2200,,,1700–2200,
310,臺南市,麻豆夜市,120.2457676,23.18436491,1730–2300,,,,,,,
311,臺南市,安西夜市,120.2446,23.1613,,,1700–2300,,,1700–2300,,
312,臺南市,仁愛夜市,121.3649804,25.0832804,,1700–2300,,,1700–2300,,,
313,臺南市,學甲夜市,119.114203,32.2071786,,,1700–2200,,,,,
314,臺南市,隆田夜市,140.0460025,35.7076941,,,,,,1700–2200,,
315,臺南市,六甲夜市,135.2371691,34.7266392,,,,,1700–2300,,,
316,臺南市,下營夜市,135.7597884,34.9906921,,,,1700–2200,,,,
317,臺南市,中營夜市,120.3195524,23.3042355,,,,,,1700–2200,,
318,臺南市,西港夜市,115.7280734,28.6402237,,1730–2200,,,1730–2200,,,
319,臺南市,安定夜市,135.7597023,34.9348097,,,1700–2230,,,,,
320,臺南市,海寮夜市,139.3246108,35.653142,,,,,,,1700–2200,
321,臺南市,佳里夜市,120.2986855,23.2977005,,,,1700–2300,,,,
